,Data,Dij,Origin,Destination,Oi,Dj,Bj,Ai,OldAi,OldBj,diff,beta,SIM_Estimates
58,97808,1451,8,3,987331,1789112,0.8988084578078159,5.164439234639922e-05,5.164439234639922e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,113144.4787231745
59,113683,946,8,4,987331,942162,0.792170441145301,5.164439234639922e-05,5.164439234639922e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,77351.31818983205
60,89806,2278,8,5,987331,2484387,1.0320919986208497,5.164439234639922e-05,5.164439234639922e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,119933.36445284628
61,25574,1795,8,6,987331,819222,0.7068738905903461,5.164439234639922e-05,5.164439234639922e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,33597.17714328006
62,158006,1287,8,7,987331,1237079,0.9285171134201669,5.164439234639922e-05,5.164439234639922e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,90104.04410002969
63,437255,754,8,9,987331,2143172,1.7754870587429994,5.164439234639922e-05,5.164439234639922e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,484676.2934641535
64,72114,3147,9,1,1528021,676308,0.6846852637136016,0.00010112278124358943,0.00010112278124358943,0.6846852637136016,2.6256590127695707e-07,-0.9055833,48975.11154331372
65,133122,2996,9,2,1528021,1155811,0.8759830255317219,0.00010112278124358943,0.00010112278124358943,0.8759830255317219,7.227582197548383e-07,-0.9055833,111992.14846698794
66,229764,2205,9,3,1528021,1789112,0.8988084578078159,0.00010112278124358943,0.00010112278124358943,0.8988084578078159,1.2738144659323843e-06,-0.9055833,234818.7169288956
67,165405,1700,9,4,1528021,942162,0.792170441145301,0.00010112278124358943,0.00010112278124358943,0.792170441145301,4.3486895731349113e-07,-0.9055833,137919.46385525132
68,266305,2862,9,5,1528021,2484387,1.0320919986208497,0.00010112278124358943,0.00010112278124358943,1.0320919986208497,1.2897154171922064e-06,-0.9055833,295708.2437825071
69,66324,2380,9,6,1528021,819222,0.7068738905903461,0.00010112278124358943,0.00010112278124358943,0.7068738905903461,3.4114269850058847e-07,-0.9055833,78893.03032543647
70,252039,1779,9,7,1528021,1237079,0.9285171134201669,0.00010112278124358943,0.00010112278124358943,0.9285171134201669,5.098202912252006e-07,-0.9055833,203752.4083051159
71,342948,754,9,8,1528021,1067069,1.010102057703877,0.00010112278124358943,0.00010112278124358943,1.010102057703877,3.914590546735743e-07,-0.9055833,415961.87679193116
